DateTime,Power(MW),Supply(MW),Demand(MW),T-1-R,T-1-Y,T-1-B,T-2-R,T-2-Y,T-2-B,T-3-R,T-3-Y,T-3-B,T-4-R,T-4-Y,T-4-B,T-1(MW),T-2(MW),T-3(MW),T-4(MW)
2018-10-06 00:00:00,33,26,26,160,160,160,130,130,130,120,120,120,110,110,110,8,6.5,6,5.5
2018-10-07 00:00:00,33,23.5,23.5,140,140,140,110,110,110,110,110,110,110,110,110,7,5.5,5.5,5.5
2018-10-07 01:00:00,33,23.5,23.5,140,140,140,110,110,110,110,110,110,110,110,110,4,5.5,5.5,5.5
2018-10-07 02:00:00,33,23.5,23.5,140,140,140,110,110,110,110,110,110,100,100,100,4,5.5,5.5,5
2018-10-07 03:00:00,33,23.5,23.5,140,140,140,110,110,110,110,110,110,100,100,100,7,5.5,5.5,5
2018-10-07 04:00:00,33,23.5,23.5,140,140,140,110,110,110,110,110,110,100,100,100,7,5.5,5.5,5
2018-10-07 05:00:00,33,22,22,130,130,130,100,100,100,110,110,110,100,100,100,6.5,5,5.5,5
2018-10-07 06:00:00,33,22,22,130,130,130,100,100,100,110,110,110,100,100,100,6.5,5,5.5,5
2018-10-07 07:00:00,33,18.5,21.5,130,130,130,110,110,110,40,40,40,90,90,90,6.5,5.5,2,4.5
2018-10-07 08:00:00,33,19.5,23,140,140,140,100,100,100,40,40,40,110,110,110,7,5,2,5.5
2018-10-07 09:00:00,33,22.5,26.5,160,160,160,130,130,130,40,40,40,120,120,120,8,6.5,2,6
2018-10-07 10:00:00,33,28.5,28.5,170,170,170,130,130,130,130,130,130,140,140,140,8.5,6.5,6.5,7
2018-10-07 11:00:00,33,26,26,110,110,110,140,140,140,130,130,130,140,140,140,5.5,7,6.5,7
2018-10-07 12:00:00,33,26,26,110,110,110,140,140,140,130,130,130,140,140,140,5.5,7,6.5,7
2018-10-07 13:00:00,33,27.5,27.5,160,160,160,130,130,130,120,120,120,140,140,140,8,6.5,6,7
2018-10-07 14:00:00,33,24.5,24.5,130,130,130,120,120,120,120,120,120,120,120,120,6.5,6,6,6
2018-10-07 15:00:00,33,24.5,24.5,130,130,130,120,120,120,120,120,120,120,120,120,6.5,6,6,6
2018-10-07 16:00:00,33,21.5,21.5,130,130,130,120,120,120,120,120,120,120,120,120,6.5,6,6,6
2018-10-07 17:00:00,33,24.5,24.5,130,130,130,120,120,120,120,120,120,120,120,120,6.5,6,6,6
2018-10-07 17:00:00,33,24.5,24.5,130,130,130,120,120,120,120,120,120,120,120,120,6.5,6,6,6
2018-10-07 18:00:00,33,29,29,190,190,190,140,140,140,130,130,130,120,120,120,9.5,7,6.5,6
2018-10-07 19:00:00,33,29,29,190,190,190,140,140,140,130,130,130,120,120,120,9.5,7,6.5,6
2018-10-07 20:00:00,33,29,29,190,190,190,140,140,140,130,130,130,120,120,120,9.5,7,6.5,6
2018-10-07 21:00:00,33,29,29,190,190,190,140,140,140,130,130,130,120,120,120,9.5,7,6.5,6
2018-10-07 22:00:00,33,29,29,190,190,190,140,140,140,130,130,130,120,120,120,9.5,7,6.5,6
2018-10-07 23:00:00,33,29,29,190,190,190,140,140,140,130,130,130,120,120,120,9.5,7,6.5,6.5
2018-10-08 00:00:00,33,24.5,24.5,160,160,160,110,110,110,110,110,110,110,110,110,8,5.5,5.5,5.5
2018-10-08 01:00:00,33,24.5,24.5,160,160,160,110,110,110,110,110,110,110,110,110,8,5.5,5.5,5.5
2018-10-08 02:00:00,33,24.5,24.5,160,160,160,110,110,110,110,110,110,110,110,110,8,5.5,5.5,5.5
