Sl No.,Shutdown Reason,Date,Area/Feeder/Section Name,Time From,To Time,Shutdown Form Details,Shutdown Receiver,Shutdown Provider,Service Order No./Date,Remarks,DateTime(Time_From),DateTime(To_Time),Duration,                           
1, H.T লাইনে তার উঠানো ঠিকাদার কর্তৃক (মাওনা বাজার),16-10-2019,১০ নং +১১ নং ফিডার,15:30,17:32,ট্রিপ করে ব্রেকার বাহির করা হয়।,মনির LM-1,শাহ আলম  LM-1,A.G.M (O & M) ,কাজ শেষে নিরাপদে থেকে ক্লিয়ারেন্স দিলে ফিডার চালু করা হয়।,2019-10-16 15:30:00,2019-10-16 17:32:00,0 days 02:02:00,
2,N/C মিটার স্থাপনের জন্য (তালতলী),17-10-2019,৩ নং তালতলী ফিডার,15:42,16:10,ট্রিপ করে ব্রেকার বাহির করা হয়।,ফরহাদ,শাহ আলম,A.G.M (O & M), কাজ শেষে নিরাপদে থেকে ক্লিয়ারেন্স দিলে ফিডার চালু করা হয়।,2019-10-17 15:42:00,2019-10-17 16:10:00,0 days 00:28:00,
3," LT জাম্পার করার জন্য,ফায়ার সার্ভিস এর পাশে",17-10-2019,১০ নং + ১১ নং ফিডার,18:10,18:35, ট্রিপ করে ব্রেকার বাহির করা হয়।,মনির,শাহ আলম,A.G.M (O & M), কাজ শেষে নিরাপদে থেকে ক্লিয়ারেন্স দিলে ফিডার চালু করা হয়।,2019-10-17 18:10:00,2019-10-17 18:35:00,0 days 00:25:00,
5,চেীরাস্তা S/D নিউট্রাল জোড়া দেবার জন্য।,17-10-2019,৫ নং ফিডার,19:00,19:08, ট্রিপ করে ব্রেকার বাহির করা হয়।,মনির, শাহ আলম,A.G.M (O & M),কাজ শেষে নিরাপদে থেকে ক্লিয়ারেন্স দিলে ফিডার চালু করা হয়।,2019-10-17 19:00:00,2019-10-17 19:08:00,0 days 00:08:00,
6,X-ফর্মার এর বাক ওয়ারিং করার জন্য।,17-10-2019,১ নং কেওয়া ফিডার,21:15,21:30,ট্রিপ করে ব্রেকার বাহির করা হয়।,ফরহাদ LM-1,শাহ আলম LM-1,A.G.M (O & M),কাজ শেষে নিরাপদে থেকে ক্লিয়ারেন্স দিলে ফিডার চালু করা হয়।,2019-10-17 21:15:00,2019-10-17 21:30:00,0 days 00:15:00,
4,H.T জাম্পার করার জন্য (তেলিহাটি),18-10-2019,৩ নং তালতলী ফিডার,18:38,18:50,ট্রিপ করে ব্রেকার বাহির করা হয়।,আঃ গণি LM-2,শাহ আলম LM-1,A.G.M (O & M),কাজ শেষে নিরাপদে থেকে ক্লিয়ারেন্স দিলে ফিডার চালু করা হয়।,2019-10-18 18:38:00,2019-10-18 18:50:00,0 days 00:12:00,
7,H.T জাম্পার করা,19-10-2019,৮ নং (বেড়াইদের চালা ),14:10,14:50,ব্রেকার বাহির করে শাটডাউন দেয়া হয়।, ওয়াদুদ LM-1,ওয়াদুর LT   ,A.G.M (O & M) ,কাজ শেষে ক্লিয়ারেন্স নিয়ে নিরাপদে লাইন চালু করা হয়।   ,2019-10-19 14:10:00,2019-10-19 14:50:00,0 days 00:40:00,
13,X-ফর্মার পরিবর্তন,20-10-2019,৩ নং ফিডার,15:00,15:35,ব্রেকার বাহির করে শাটডাউন দেয়া হয়।,মনির LM-1 ,মোশতাক LM-1 ,J.E (Kamrujaman),কাজ শেষে ক্লিয়ারেন্স নিয়ে নিরাপদে লাইন চালু করা হয়।,2019-10-20 15:00:00,2019-10-20 15:35:00,0 days 00:35:00,
12,অভিযোগ সমাধান,20-10-2019,১ নং ফিডার,13:50,14:10,ব্রেকার বাহির করে শাটডাউন দেয়া হয়।,ফরহাদ LM-1,মনিরুজ্জামান LT,J.E (Kamrujaman),কাজ শেষে ক্লিয়ারেন্স নিয়ে নিরাপদে লাইন চালু করা হয়।,2019-10-20 13:50:00,2019-10-20 14:10:00,0 days 00:20:00,
11,H.T জাম্পার করা,20-10-2019,১ নং + ৫ নং ফিডার,12:55,13:25,ব্রেকার বাহির করে শাটডাউন দেয়া হয়।,ফরহাদ LM-1,মনিরুজ্জামান LT,J.E (Kamrujaman), কাজ শেষে ক্লিয়ারেন্স নিয়ে নিরাপদে লাইন চালু করা হয়।,2019-10-20 12:55:00,2019-10-20 13:25:00,0 days 00:30:00,
9, X.F.B  আপগ্রেট,20-10-2019,২ নং ফিডার ,12:15,12:58,ব্রেকার বাহির করে শাটডাউন দেয়া হয়।,শাহ আলম  LM-1,মনিরুজ্জামান LT, J.E (Kamrujaman),কাজ শেষে ক্লিয়ারেন্স নিয়ে নিরাপদে লাইন চালু করা হয়।,2019-10-20 12:15:00,2019-10-20 12:58:00,0 days 00:43:00,
8,X-ফর্মার পরিবর্তন,20-10-2019,১ নং + ৫ নং ফিডার মাওনা চৌরাস্তা ,11:05,11:50, ব্রেকার বাহির করে শাটডাউন দেয়া হয়।,মনিরুজ্জামান  LM-1,মনিরুজ্জামান  LT,J.E (Kamrujaman) ,কাজ শেষে ক্লিয়ারেন্স নিয়ে নিরাপদে লাইন চালু করা হয়।,2019-10-20 11:05:00,2019-10-20 11:50:00,0 days 00:45:00,
10,R.O.W কাজের জন্য    ,20-10-2019,৪ নং ফিডার,12:22,12:44,ব্রেকার বাহির করে শাটডাউন দেয়া হয়।,ওয়াদুদ LM-1,মনিরুজ্জামান LT,J.E (Kamrujaman),কাজ শেষে ক্লিয়ারেন্স নিয়ে নিরাপদে লাইন চালু করা হয়।,2019-10-20 12:22:00,2019-10-20 12:44:00,0 days 00:22:00,
